departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway
MUC,FAO,condor.com,airport,false,*,*,false
MLE,CAI,condor.com,airport,false,*,*,false
NUE,PMI,condor.com,airport,false,*,*,false
LAX,HAM,condor.com,airport,false,*,*,false
LAX,BUD,condor.com,airport,false,*,*,false
LEJ,ATH,condor.com,airport,false,*,*,false
RHO,HAM,condor.com,airport,false,*,*,false
FRA,NDR,condor.com,airport,false,*,*,false
HRG,MAN,condor.com,airport,false,*,*,false
FRA,HOG,condor.com,airport,false,*,*,false
HAM,ZTH,condor.com,airport,false,*,*,false
HAM,RHO,condor.com,airport,false,*,*,false
HAM,FAO,condor.com,airport,false,*,*,false
HRG,CGN,condor.com,airport,false,*,*,false
FRA,RGN,condor.com,airport,false,*,*,false
FRA,BUH,condor.com,airport,false,*,*,false
HER,DUS,condor.com,airport,false,*,*,false
FRA,OLB,condor.com,airport,false,*,*,false
FRA,MAD,condor.com,airport,false,*,*,false
HAM,KGS,condor.com,airport,false,*,*,false
HAM,BEY,condor.com,airport,false,*,*,false
DXB,VNO,condor.com,airport,false,*,*,false
CUN,WRO,condor.com,airport,false,*,*,false
FAO,DUS,condor.com,airport,false,*,*,false
AGA,LEJ,condor.com,airport,false,*,*,false
AGA,DMM,condor.com,airport,false,*,*,false
BKK,VIE,condor.com,airport,false,*,*,false
SFO,IST,condor.com,airport,false,*,*,false
YVR,GVA,condor.com,airport,false,*,*,false
YTO,PRG,condor.com,airport,false,*,*,false
TCI,MUC,condor.com,airport,false,*,*,false
YYC,GZT,condor.com,airport,false,*,*,false
VRA,HKT,condor.com,airport,false,*,*,false
YTO,GVA,condor.com,airport,false,*,*,false
YEA,BEY,condor.com,airport,false,*,*,false
STR,HER,condor.com,airport,false,*,*,false
YHZ,FRA,condor.com,airport,false,*,*,false
YYC,DOH,condor.com,airport,false,*,*,false
YHZ,ISB,condor.com,airport,false,*,*,false
YHZ,IST,condor.com,airport,false,*,*,false
YTO,EVN,condor.com,airport,false,*,*,false
MUC,PAR,condor.com,airport,false,*,*,false
PHX,MCT,condor.com,airport,false,*,*,false
MUC,AMS,condor.com,airport,false,*,*,false
MUC,FNC,condor.com,airport,false,*,*,false
PMI,MLA,condor.com,airport,false,*,*,false
LEJ,JED,condor.com,airport,false,*,*,false
RHO,LEJ,condor.com,airport,false,*,*,false
MUC,JED,condor.com,airport,false,*,*,false
PDX,CAI,condor.com,airport,false,*,*,false
MUC,KGS,condor.com,airport,false,*,*,false
MBJ,LOS,condor.com,airport,false,*,*,false
MUC,MIL,condor.com,airport,false,*,*,false
MBA,FRA,condor.com,airport,false,*,*,false
MIA,IST,condor.com,airport,false,*,*,false
NYC,AMS,condor.com,airport,false,*,*,false
IBZ,FRA,condor.com,airport,false,*,*,false
