departure_code,arrival_code,pos_provider_code,route_type
CHG,ACC,emirates.com,airport
PEK,ACC,emirates.com,airport
NAY,ACC,emirates.com,airport
BNE,PEW,emirates.com,airport
CAI,JAI,emirates.com,airport
CAI,ADB,emirates.com,airport
BLR,BNE,emirates.com,airport
BNE,NJF,emirates.com,airport
BLR,ZAM,emirates.com,airport
CAI,HYD,emirates.com,airport
GYY,BBI,emirates.com,airport
ORD,BBI,emirates.com,airport
MDW,BBI,emirates.com,airport
CHC,ZIA,emirates.com,airport
CHC,VKO,emirates.com,airport
CHC,SVO,emirates.com,airport
CHC,DME,emirates.com,airport
BOM,GUA,emirates.com,airport
CAI,ESB,emirates.com,airport
BOM,BER,emirates.com,airport
BNE,ZIA,emirates.com,airport
BNE,VKO,emirates.com,airport
BNE,SVO,emirates.com,airport
BNE,DME,emirates.com,airport
CEB,IST,emirates.com,airport
CCU,THR,emirates.com,airport
BOM,GCM,emirates.com,airport
BBU,MPH,emirates.com,airport
OTP,MPH,emirates.com,airport
CAI,HAQ,emirates.com,airport
BGW,ZQN,emirates.com,airport
CCU,KCZ,emirates.com,airport
CAI,GRJ,emirates.com,airport
CCU,CEB,emirates.com,airport
BKK,NCE,emirates.com,airport
CMB,MEL,emirates.com,airport
BSR,LWG,emirates.com,airport
BSR,SEN,emirates.com,airport
BSR,STN,emirates.com,airport
BSR,LTN,emirates.com,airport
BSR,LHR,emirates.com,airport
BSR,LGW,emirates.com,airport
BSR,LCY,emirates.com,airport
BSR,GOP,emirates.com,airport
CAI,FNA,emirates.com,airport
BLR,LXR,emirates.com,airport
BSR,PKX,emirates.com,airport
BSR,CHG,emirates.com,airport
BSR,PEK,emirates.com,airport
BSR,NAY,emirates.com,airport
BSR,ALG,emirates.com,airport
BLR,TNR,emirates.com,airport
CCU,ICT,emirates.com,airport
CCU,DAR,emirates.com,airport
BOS,SIN,emirates.com,airport
CAI,DAY,emirates.com,airport
CKY,AHB,emirates.com,airport
BSR,IWK,emirates.com,airport
BOM,DRV,emirates.com,airport
BGW,YEG,emirates.com,airport
BGW,TKU,emirates.com,airport
BOM,BSB,emirates.com,airport
BLQ,CMB,emirates.com,airport
BWI,JED,emirates.com,airport
CCU,BNA,emirates.com,airport
BNE,MAD,emirates.com,airport
BOM,ICN,emirates.com,airport
BOM,GMP,emirates.com,airport
DUS,BNE,emirates.com,airport
CWB,HBE,emirates.com,airport
DAC,SKT,emirates.com,airport
CMB,NRT,emirates.com,airport
CMB,HND,emirates.com,airport
DUS,ATQ,emirates.com,airport
CPT,VIE,emirates.com,airport
DUD,BEY,emirates.com,airport
COK,KUL,emirates.com,airport
DUB,TIF,emirates.com,airport
DAC,SKD,emirates.com,airport
DFW,KBL,emirates.com,airport
CPT,ICN,emirates.com,airport
CPT,GMP,emirates.com,airport
DEL,YIP,emirates.com,airport
DEL,DET,emirates.com,airport
DEL,DTW,emirates.com,airport
DFW,ISB,emirates.com,airport
CMN,LPT,emirates.com,airport
DUB,MED,emirates.com,airport
DMM,HGA,emirates.com,airport
DUB,LAO,emirates.com,airport
DEL,CMN,emirates.com,airport
DAC,QYX,emirates.com,airport
DUB,KBK,emirates.com,airport
DEL,EPA,emirates.com,airport
DEL,EZE,emirates.com,airport
DEL,AEP,emirates.com,airport
CMB,YMX,emirates.com,airport
CMB,YUL,emirates.com,airport
CMB,YHU,emirates.com,airport
DAC,PDX,emirates.com,airport
CMB,TAS,emirates.com,airport
CMN,TKG,emirates.com,airport
CPT,KBV,emirates.com,airport
DEN,DEL,emirates.com,airport
DEN,DAC,emirates.com,airport
CMN,KME,emirates.com,airport
CPH,CCU,emirates.com,airport
DEL,BFS,emirates.com,airport
DAC,NGO,emirates.com,airport
DEL,BBK,emirates.com,airport
DUB,AMS,emirates.com,airport
YIP,HYD,emirates.com,airport
DET,HYD,emirates.com,airport
DTW,HYD,emirates.com,airport
YIP,BGW,emirates.com,airport
DET,BGW,emirates.com,airport
DTW,BGW,emirates.com,airport
DSM,EBL,emirates.com,airport
DAR,YSB,emirates.com,airport
DAC,MUX,emirates.com,airport
DAR,YQM,emirates.com,airport
DPS,IAD,emirates.com,airport
DPS,DCA,emirates.com,airport
CPT,CTU,emirates.com,airport
CPT,CEB,emirates.com,airport
DPS,MXP,emirates.com,airport
DPS,LIN,emirates.com,airport
DPS,BGY,emirates.com,airport
DXB,AQI,emirates.com,airport
DEL,YQM,emirates.com,airport
CMB,MPM,emirates.com,airport
CMN,DAR,emirates.com,airport
DAR,GYD,emirates.com,airport
CMB,NPL,emirates.com,airport
DPS,ELQ,emirates.com,airport
COK,YQY,emirates.com,airport
DAC,ZRH,emirates.com,airport
COK,YMX,emirates.com,airport
COK,YUL,emirates.com,airport
COK,YHU,emirates.com,airport
CMB,SEZ,emirates.com,airport
DXB,AAR,emirates.com,airport
COK,AQI,emirates.com,airport
CMN,GRU,emirates.com,airport
CMN,CGH,emirates.com,airport
DAC,XIT,emirates.com,airport
CPT,AHB,emirates.com,airport
DAC,LHE,emirates.com,airport
CMB,YYT,emirates.com,airport
DOH,HYD,emirates.com,airport
DEL,UTP,emirates.com,airport
DMM,YYC,emirates.com,airport
DAC,VNO,emirates.com,airport
DMM,YWG,emirates.com,airport
DAC,LCA,emirates.com,airport
DUS,HLP,emirates.com,airport
DUS,CGK,emirates.com,airport
CMN,CSX,emirates.com,airport
DAC,ULH,emirates.com,airport
DMM,YIW,emirates.com,airport
DMM,YAM,emirates.com,airport
DUS,ELQ,emirates.com,airport
COK,VNO,emirates.com,airport
DKR,PKX,emirates.com,airport
DKR,CHG,emirates.com,airport
DKR,PEK,emirates.com,airport
DKR,NAY,emirates.com,airport
DKR,AMM,emirates.com,airport
DKR,ADD,emirates.com,airport
DFW,VNS,emirates.com,airport
DMM,UDR,emirates.com,airport
CMN,RAR,emirates.com,airport
DEL,GEG,emirates.com,airport
DEL,FNA,emirates.com,airport
DEL,SKG,emirates.com,airport
DEL,SJJ,emirates.com,airport
COK,JIB,emirates.com,airport
COK,TLV,emirates.com,airport
CMN,MAD,emirates.com,airport
COK,TLL,emirates.com,airport
DMM,HRG,emirates.com,airport
DAC,IJK,emirates.com,airport
COK,TIF,emirates.com,airport
DMM,THS,emirates.com,airport
CMB,TLV,emirates.com,airport
COK,FMM,emirates.com,airport
DEL,GRU,emirates.com,airport
DEL,CGH,emirates.com,airport
CMN,PZU,emirates.com,airport
DMM,TAE,emirates.com,airport
CMB,VST,emirates.com,airport
CMB,NYO,emirates.com,airport
CMB,BMA,emirates.com,airport
CMB,ARN,emirates.com,airport
DMM,DAY,emirates.com,airport
CPT,GCM,emirates.com,airport
DEL,RRJ,emirates.com,airport
DEL,SDU,emirates.com,airport
DEL,GIG,emirates.com,airport
DMM,VST,emirates.com,airport
DMM,NYO,emirates.com,airport
DMM,BMA,emirates.com,airport
DMM,ARN,emirates.com,airport
DEL,RKV,emirates.com,airport
DEL,KEF,emirates.com,airport
DAC,FJR,emirates.com,airport
DAR,YMX,emirates.com,airport
DAR,YUL,emirates.com,airport
DAR,YHU,emirates.com,airport
DAR,DEL,emirates.com,airport
CMN,COK,emirates.com,airport
DXB,ALH,emirates.com,airport
COK,PVR,emirates.com,airport
COK,PMR,emirates.com,airport
CMN,KIX,emirates.com,airport
CMN,ITM,emirates.com,airport
DXB,ABE,emirates.com,airport
COK,OSL,emirates.com,airport
DUS,NRT,emirates.com,airport
DUS,HND,emirates.com,airport
DAC,YMX,emirates.com,airport
DAC,YUL,emirates.com,airport
DAC,YHU,emirates.com,airport
DUS,OSL,emirates.com,airport
DKR,NAN,emirates.com,airport
DAC,DEB,emirates.com,airport
DUS,KWI,emirates.com,airport
CMB,YXJ,emirates.com,airport
DEL,MVD,emirates.com,airport
DIB,DXB,emirates.com,airport
CMB,VNO,emirates.com,airport
DMM,PAG,emirates.com,airport
CPT,VCE,emirates.com,airport
CMN,NCE,emirates.com,airport
CMN,CCU,emirates.com,airport
CMN,LIS,emirates.com,airport
DMM,OKC,emirates.com,airport
CMN,LHE,emirates.com,airport
DXB,CCS,emirates.com,airport
DAC,GYY,emirates.com,airport
DAC,ORD,emirates.com,airport
DAC,MDW,emirates.com,airport
DMM,FUK,emirates.com,airport
CMB,YEG,emirates.com,airport
DAC,BBU,emirates.com,airport
DAC,OTP,emirates.com,airport
CMN,KUA,emirates.com,airport
DMM,NDJ,emirates.com,airport
COK,GYY,emirates.com,airport
COK,ORD,emirates.com,airport
COK,MDW,emirates.com,airport
DAC,EPA,emirates.com,airport
DAC,EZE,emirates.com,airport
DAC,AEP,emirates.com,airport
COK,BGO,emirates.com,airport
CMN,CAI,emirates.com,airport
DAC,WDH,emirates.com,airport
DKR,HRB,emirates.com,airport
DEL,LUN,emirates.com,airport
DEL,HER,emirates.com,airport
DAC,BCN,emirates.com,airport
DAC,BCM,emirates.com,airport
CMN,MXP,emirates.com,airport
CMN,LIN,emirates.com,airport
CMN,BGY,emirates.com,airport
DEL,LEX,emirates.com,airport
DXB,BNX,emirates.com,airport
DAC,ATH,emirates.com,airport
CMN,BSB,emirates.com,airport
DAC,YWG,emirates.com,airport
CMB,PMO,emirates.com,airport
DAC,ADD,emirates.com,airport
DMM,LMV,emirates.com,airport
DEL,KHI,emirates.com,airport
DEL,KDM,emirates.com,airport
DEL,JAX,emirates.com,airport
DEL,DAM,emirates.com,airport
DEL,BOG,emirates.com,airport
DMM,KLO,emirates.com,airport
ISB,TIA,emirates.com,airport
DXB,ELP,emirates.com,airport
HAN,CCU,emirates.com,airport
EVN,KWI,emirates.com,airport
ISB,ROK,emirates.com,airport
GLA,ATQ,emirates.com,airport
ISB,SFB,emirates.com,airport
ISB,MCO,emirates.com,airport
