departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway,app_types
OMH,BGW,zd.wego.com,airport,false,*,*,true,*
OMH,BGY,zd.wego.com,airport,false,*,*,true,*
OMH,ERC,zd.wego.com,airport,false,*,*,true,*
OMH,NKT,zd.wego.com,airport,false,*,*,true,*
OMH,MQM,zd.wego.com,airport,false,*,*,true,*
OMH,CAI,zd.wego.com,airport,false,*,*,true,*
OMH,MED,zd.wego.com,airport,false,*,*,true,*
OMH,DXB,zd.wego.com,airport,false,*,*,true,*
OMH,TBS,zd.wego.com,airport,false,*,*,true,*
OMH,AMS,zd.wego.com,airport,false,*,*,true,*
OMH,MLX,zd.wego.com,airport,false,*,*,true,*
OMH,MUC,zd.wego.com,airport,false,*,*,true,*
OMH,BSL,zd.wego.com,airport,false,*,*,true,*
OMH,AYT,zd.wego.com,airport,false,*,*,true,*
OMH,ZRH,zd.wego.com,airport,false,*,*,true,*
OMH,DNZ,zd.wego.com,airport,false,*,*,true,*
OMH,STR,zd.wego.com,airport,false,*,*,true,*
OMH,TZX,zd.wego.com,airport,false,*,*,true,*
OMH,GYD,zd.wego.com,airport,false,*,*,true,*
OMH,KYA,zd.wego.com,airport,false,*,*,true,*
OMH,TJK,zd.wego.com,airport,false,*,*,true,*
OMH,VAS,zd.wego.com,airport,false,*,*,true,*
OMH,STN,zd.wego.com,airport,false,*,*,true,*
OMH,RZV,zd.wego.com,airport,false,*,*,true,*
OMH,BJV,zd.wego.com,airport,false,*,*,true,*
OMH,ADF,zd.wego.com,airport,false,*,*,true,*
OMH,NAV,zd.wego.com,airport,false,*,*,true,*
OMH,VAN,zd.wego.com,airport,false,*,*,true,*
OMH,BRU,zd.wego.com,airport,false,*,*,true,*
OMH,CDG,zd.wego.com,airport,false,*,*,true,*
OMH,SKP,zd.wego.com,airport,false,*,*,true,*
OMH,CPH,zd.wego.com,airport,false,*,*,true,*
OMH,HRG,zd.wego.com,airport,false,*,*,true,*
OMH,OGU,zd.wego.com,airport,false,*,*,true,*
OMH,ADB,zd.wego.com,airport,false,*,*,true,*
OMH,ECN,zd.wego.com,airport,false,*,*,true,*
OMH,KSY,zd.wego.com,airport,false,*,*,true,*
OMH,HAJ,zd.wego.com,airport,false,*,*,true,*
OMH,VIE,zd.wego.com,airport,false,*,*,true,*
OMH,HAM,zd.wego.com,airport,false,*,*,true,*
OMH,DIY,zd.wego.com,airport,false,*,*,true,*
OMH,FRA,zd.wego.com,airport,false,*,*,true,*
OMH,SSH,zd.wego.com,airport,false,*,*,true,*
OMH,BAH,zd.wego.com,airport,false,*,*,true,*
OMH,JED,zd.wego.com,airport,false,*,*,true,*
OMH,COV,zd.wego.com,airport,false,*,*,true,*
OMH,CGN,zd.wego.com,airport,false,*,*,true,*
OMH,BER,zd.wego.com,airport,false,*,*,true,*
OMH,ASR,zd.wego.com,airport,false,*,*,true,*
OMH,DUS,zd.wego.com,airport,false,*,*,true,*
OMH,DMM,zd.wego.com,airport,false,*,*,true,*
OMH,RUH,zd.wego.com,airport,false,*,*,true,*
OMH,IGD,zd.wego.com,airport,false,*,*,true,*
OMH,LYS,zd.wego.com,airport,false,*,*,true,*
OMH,SAW,zd.wego.com,airport,false,*,*,true,*
OMH,KWI,zd.wego.com,airport,false,*,*,true,*
OMH,BUD,zd.wego.com,airport,false,*,*,true,*
OMH,GNY,zd.wego.com,airport,false,*,*,true,*
OMH,SJJ,zd.wego.com,airport,false,*,*,true,*
OMH,ESB,zd.wego.com,airport,false,*,*,true,*
OMH,ERZ,zd.wego.com,airport,false,*,*,true,*
OMH,HTY,zd.wego.com,airport,false,*,*,true,*
OMH,EBL,zd.wego.com,airport,false,*,*,true,*
OMH,GZT,zd.wego.com,airport,false,*,*,true,*
OMH,AJI,zd.wego.com,airport,false,*,*,true,*
CAI,OMH,zd.wego.com,airport,false,*,*,true,*
MQM,OMH,zd.wego.com,airport,false,*,*,true,*
AMS,OMH,zd.wego.com,airport,false,*,*,true,*
TBS,OMH,zd.wego.com,airport,false,*,*,true,*
AYT,OMH,zd.wego.com,airport,false,*,*,true,*
BSL,OMH,zd.wego.com,airport,false,*,*,true,*
MUC,OMH,zd.wego.com,airport,false,*,*,true,*
MLX,OMH,zd.wego.com,airport,false,*,*,true,*
SHJ,OMH,zd.wego.com,airport,false,*,*,true,*
TZX,OMH,zd.wego.com,airport,false,*,*,true,*
GYD,OMH,zd.wego.com,airport,false,*,*,true,*
KYA,OMH,zd.wego.com,airport,false,*,*,true,*
ZRH,OMH,zd.wego.com,airport,false,*,*,true,*
DNZ,OMH,zd.wego.com,airport,false,*,*,true,*
