departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway,app_types
DEL,PNQ,zm.wego.com,airport,false,*,*,true,*
HAS,RUH,zm.wego.com,airport,false,*,*,true,*
MCT,BKK,zm.wego.com,airport,false,*,*,true,*
DEL,DXB,zm.wego.com,airport,false,*,*,true,*
JED,BOM,zm.wego.com,airport,false,*,*,true,*
HYD,JED,zm.wego.com,airport,false,*,*,true,*
KWI,MAA,zm.wego.com,airport,false,*,*,true,*
RUH,MNL,zm.wego.com,airport,false,*,*,true,*
AMM,SAW,zm.wego.com,airport,false,*,*,true,*
BOM,CCU,zm.wego.com,airport,false,*,*,true,*
JED,AUH,zm.wego.com,airport,false,*,*,true,*
RUH,VNS,zm.wego.com,airport,false,*,*,true,*
DOH,RUH,zm.wego.com,airport,false,*,*,true,*
AHB,LKO,zm.wego.com,airport,false,*,*,true,*
MCT,SAW,zm.wego.com,airport,false,*,*,true,*
JED,TBS,zm.wego.com,airport,false,*,*,true,*
RUH,CCU,zm.wego.com,airport,false,*,*,true,*
RUH,TBS,zm.wego.com,airport,false,*,*,true,*
CCJ,RUH,zm.wego.com,airport,false,*,*,true,*
JED,DAC,zm.wego.com,airport,false,*,*,true,*
RUH,HAS,zm.wego.com,airport,false,*,*,true,*
MCT,BOM,zm.wego.com,airport,false,*,*,true,*
IXL,DEL,zm.wego.com,airport,false,*,*,true,*
RUH,PEW,zm.wego.com,airport,false,*,*,true,*
MCT,CGP,zm.wego.com,airport,false,*,*,true,*
HYD,DEL,zm.wego.com,airport,false,*,*,true,*
CCJ,DMM,zm.wego.com,airport,false,*,*,true,*
HKT,BKK,zm.wego.com,airport,false,*,*,true,*
MED,LKO,zm.wego.com,airport,false,*,*,true,*
MCT,ISB,zm.wego.com,airport,false,*,*,true,*
DEL,HYD,zm.wego.com,airport,false,*,*,true,*
ISB,JED,zm.wego.com,airport,false,*,*,true,*
MCT,SYZ,zm.wego.com,airport,false,*,*,true,*
BOM,RUH,zm.wego.com,airport,false,*,*,true,*
CCU,BOM,zm.wego.com,airport,false,*,*,true,*
KHI,MCT,zm.wego.com,airport,false,*,*,true,*
HAS,DMM,zm.wego.com,airport,false,*,*,true,*
AUH,IXE,zm.wego.com,airport,false,*,*,true,*
KWI,GOP,zm.wego.com,airport,false,*,*,true,*
JED,ADD,zm.wego.com,airport,false,*,*,true,*
AUH,DMM,zm.wego.com,airport,false,*,*,true,*
MCT,KWI,zm.wego.com,airport,false,*,*,true,*
SPX,MCT,zm.wego.com,airport,false,*,*,true,*
KWI,MCT,zm.wego.com,airport,false,*,*,true,*
BOM,VNS,zm.wego.com,airport,false,*,*,true,*
BLR,PAT,zm.wego.com,airport,false,*,*,true,*
MCT,LHE,zm.wego.com,airport,false,*,*,true,*
AMM,DOH,zm.wego.com,airport,false,*,*,true,*
DXB,DMM,zm.wego.com,airport,false,*,*,true,*
RUH,TZX,zm.wego.com,airport,false,*,*,true,*
JED,SHJ,zm.wego.com,airport,false,*,*,true,*
DEL,IXB,zm.wego.com,airport,false,*,*,true,*
DMM,BOM,zm.wego.com,airport,false,*,*,true,*
JED,MNL,zm.wego.com,airport,false,*,*,true,*
