departure_code,arrival_code,pos_provider_code,route_type,direct_flight_only,allowed_inbound_days,allowed_outbound_days,sum_of_oneway
YYZ,ROW,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ACA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,HPN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,HVN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CLL,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,RAP,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SBY,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,JLN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SJT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,AMA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ESC,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PBC,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MLU,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,TRI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SBP,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,TYR,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MMH,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PAH,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,TOL,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,STX,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,GTR,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,KTN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,GFK,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PVC,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SBN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LYH,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LAW,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LAR,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ART,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,DBQ,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YHZ,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CPR,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,JNU,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CEN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YYJ,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ABI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PIH,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ITH,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,INL,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MVY,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,FSM,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CZM,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CUU,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,JMS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,STT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,TIJ,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,OAX,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,VSA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PUB,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SAF,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,TAM,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CJS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,DIK,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CGI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ELM,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BPT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PIB,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,JHM,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,FAR,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SGU,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ERI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YLW,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,AEX,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BQK,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LBL,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CLQ,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YKA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YDF,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YQR,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SLN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ITO,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YQU,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BRD,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,RKS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,COU,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LAN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CWA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ALW,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,GTF,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YQM,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BKW,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YYT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,VDZ,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,IPT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YCD,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,GCC,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ALO,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,OWB,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SHD,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LAP,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YQY,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,OTH,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YTZ,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,HTS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MHK,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CIU,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ORH,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PSE,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LMM,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CDC,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CVN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MTJ,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CYS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,IMT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,YXT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MEI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LNS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,DDC,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PBG,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,EAT,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CKB,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,CTM,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,SPS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,HUX,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,FLO,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MKK,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,AUG,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BJI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,HLN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,TTN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BFI,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,MCK,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ATY,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ACY,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BFF,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LWS,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LBF,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,PLN,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,LEB,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,BTM,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,GUA,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,POP,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,UIO,theflightsfare.com-CA,airport,false,*,*,false,*
YYZ,ANU,theflightsfare.com-CA,airport,false,*,*,false,*
